ENSEMBL	ENTREZID	SYMBOL
ENSG00000162614	91624	NEXN
ENSG00000109906	7704	ZBTB16
ENSG00000120129	1843	DUSP1
ENSG00000134243	6272	SORT1
ENSG00000162692	7412	VCAM1
ENSG00000101347	25939	SAMHD1
ENSG00000125148	4502	MT2A
ENSG00000154734	9510	ADAMTS1
ENSG00000196136	12	SERPINA3
ENSG00000189221	4128	MAOA
ENSG00000157214	261729	STEAP2
ENSG00000211445	2878	GPX3
ENSG00000165995	783	CACNB2
ENSG00000162493	10630	PDPN
ENSG00000152583	8404	SPARCL1
ENSG00000179094	5187	PER1
ENSG00000157150	7079	TIMP4
ENSG00000137809	22801	ITGA11
ENSG00000102804	8848	TSC22D1
ENSG00000178695	115207	KCTD12
ENSG00000119139	9414	TJP2
ENSG00000163661	5806	PTX3
ENSG00000106484	4232	MEST
ENSG00000124762	1026	CDKN1A
ENSG00000148848	8038	ADAM12
ENSG00000198624	26112	CCDC69
ENSG00000108821	1277	COL1A1
ENSG00000162616	11080	DNAJB4
ENSG00000145685	10184	LHFPL2
ENSG00000154930	84532	ACSS1
ENSG00000163431	25802	LMOD1
ENSG00000136478	55852	TEX2
ENSG00000253368	388610	TRNP1
ENSG00000139132	121512	FGD4
ENSG00000163884	28999	KLF15
ENSG00000162407	8613	PLPP3
ENSG00000116584	9181	ARHGEF2
ENSG00000146250	167681	PRSS35
ENSG00000172986	727936	GXYLT2
ENSG00000163394	886	CCKAR
ENSG00000262655	10418	SPON1
ENSG00000106123	2051	EPHB6
ENSG00000124766	6659	SOX4
ENSG00000125868	11034	DSTN
ENSG00000166741	4837	NNMT
ENSG00000145390	54532	USP53
ENSG00000148175	2040	STOM
ENSG00000147027	83604	TMEM47
ENSG00000070404	10272	FSTL3
ENSG00000163083	3625	INHBB
ENSG00000116285	54206	ERRFI1
ENSG00000107562	6387	CXCL12
ENSG00000227051	56967	C14orf132
ENSG00000133142	79921	TCEAL4
ENSG00000164647	26872	STEAP1
ENSG00000099337	9424	KCNK6
ENSG00000068383	3632	INPP5A
ENSG00000221869	1052	CEBPD
ENSG00000103742	57722	IGDCC4
ENSG00000187193	4501	MT1X
ENSG00000197381	104	ADARB1
ENSG00000127954	79689	STEAP4
ENSG00000185432	25840	TMT1A
ENSG00000139289	22822	PHLDA1
ENSG00000196569	3908	LAMA2
ENSG00000134686	1912	PHC2
ENSG00000131831	10742	RAI2
ENSG00000126803	3306	HSPA2
ENSG00000128923	54629	MINDY2
ENSG00000138735	8654	PDE5A
ENSG00000180914	5021	OXTR
ENSG00000123562	9643	MORF4L2
ENSG00000122035	387496	RASL11A
ENSG00000196975	307	ANXA4
ENSG00000130513	9518	GDF15
ENSG00000138316	140766	ADAMTS14
ENSG00000105989	7472	WNT2
ENSG00000077684	79960	JADE1
ENSG00000126785	57381	RHOJ
ENSG00000131389	6533	SLC6A6
ENSG00000109861	1075	CTSC
ENSG00000141401	3613	IMPA2
ENSG00000167641	94274	PPP1R14A
ENSG00000112837	9096	TBX18
ENSG00000196507	85012	TCEAL3
ENSG00000163378	285203	EOGT
ENSG00000172403	171024	SYNPO2
ENSG00000033867	9497	SLC4A7
ENSG00000075213	10371	SEMA3A
ENSG00000103196	83716	CRISPLD2
ENSG00000101825	25878	MXRA5
ENSG00000168309	11170	FAM107A
ENSG00000151726	2180	ACSL1
ENSG00000149218	23052	ENDOD1
ENSG00000137767	58472	SQOR
ENSG00000103064	9057	SLC7A6
ENSG00000020577	23034	SAMD4A
ENSG00000187498	1282	COL4A1
ENSG00000046653	2824	GPM6B
ENSG00000136999	4856	CCN3
ENSG00000138073	10113	PREB
ENSG00000173918	114897	C1QTNF1
ENSG00000146122	23500	DAAM2
ENSG00000169715	4493	MT1E
ENSG00000134363	10468	FST
ENSG00000196517	6536	SLC6A9
ENSG00000177614	79605	PGBD5
ENSG00000113719	57222	ERGIC1
ENSG00000150907	2308	FOXO1
ENSG00000197043	309	ANXA6
ENSG00000115457	3485	IGFBP2
ENSG00000126016	154796	AMOT
ENSG00000156675	80223	RAB11FIP1
ENSG00000179222	9500	MAGED1
ENSG00000185950	8660	IRS2
ENSG00000119138	687	KLF9
ENSG00000100242	25777	SUN2
ENSG00000099998	2687	GGT5
ENSG00000182718	302	ANXA2
ENSG00000163513	7048	TGFBR2
ENSG00000140545	4240	MFGE8
ENSG00000148120	84909	AOPEP
ENSG00000138829	2201	FBN2
ENSG00000167552	7846	TUBA1A
ENSG00000072958	8907	AP1M1
ENSG00000246430	100507632	LINC00968
ENSG00000115419	2744	GLS
ENSG00000076513	88455	ANKRD13A
ENSG00000221866	91584	PLXNA4
ENSG00000008311	10157	AASS
ENSG00000069431	10060	ABCC9
ENSG00000256235	85027	SMIM3
ENSG00000163491	152110	NEK10
ENSG00000137672	7225	TRPC6
ENSG00000091527	55573	CDV3
ENSG00000164442	10370	CITED2
ENSG00000166482	4239	MFAP4
ENSG00000173221	2745	GLRX
ENSG00000206190	57194	ATP10A
ENSG00000103485	23475	QPRT
ENSG00000162496	9249	DHRS3
ENSG00000123243	80760	ITIH5
ENSG00000277443	4082	MARCKS
ENSG00000060718	1301	COL11A1
ENSG00000096060	2289	FKBP5
ENSG00000049323	4052	LTBP1
ENSG00000143320	1382	CRABP2
ENSG00000177674	57085	AGTRAP
ENSG00000119508	8013	NR4A3
ENSG00000114853	92999	ZBTB47
ENSG00000008256	9265	CYTH3
ENSG00000103502	10423	CDIPT
ENSG00000177666	57104	PNPLA2
ENSG00000168398	624	BDKRB2
ENSG00000170214	147	ADRA1B
ENSG00000164125	51313	GASK1B
ENSG00000129116	23022	PALLD
ENSG00000134871	1284	COL4A2
ENSG00000181467	5912	RAP2B
ENSG00000125503	54776	PPP1R12C
ENSG00000145431	56034	PDGFC
ENSG00000071242	6196	RPS6KA2
ENSG00000173517	79834	PEAK1
ENSG00000214814	654463	FER1L6
ENSG00000144369	165215	FAM171B
ENSG00000172985	344558	SH3RF3
ENSG00000138385	6741	SSB
ENSG00000177283	8325	FZD8
ENSG00000132155	5894	RAF1
ENSG00000144724	5793	PTPRG
ENSG00000136546	6332	SCN7A
ENSG00000152601	4154	MBNL1
ENSG00000138604	26035	GLCE
ENSG00000134318	9475	ROCK2
