gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction	abs_log2FoldChange	fold_change_approx
ENSG00000162614.21	NEXN	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	5782.09614439021	1.9807086154724	0.0776466908683817	25.509246991992	1.55653778646776e-143	2.86838783290279e-139	upregulated	1.9807086154724	3.94686894458575
ENSG00000109906.17	ZBTB16	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	999.951726186938	6.09739768279989	0.239807546421952	25.4262127017106	1.29411124951e-142	1.19239410529852e-138	upregulated	6.09739768279989	68.4698849330105
ENSG00000120129.8	DUSP1	protein_coding;nonsense_mediated_decay	3500.65162504364	2.97144242585198	0.121672052620604	24.4217333549677	1.00519610783885e-131	6.17458462508478e-128	upregulated	2.97144242585198	7.84320019862001
ENSG00000134243.14	SORT1	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	5559.45456711846	2.14412289555501	0.095140246114579	22.5364447026215	1.82389815844239e-112	8.40269881594408e-109	upregulated	2.14412289555501	4.42023445954187
ENSG00000162692.14	VCAM1	protein_coding;retained_intron;nonsense_mediated_decay	498.867130868347	-3.59437169171568	0.164591815518057	-21.8380949283675	1.00874446938448e-105	3.71782861636342e-102	downregulated	3.59437169171568	-12.0785192215707
ENSG00000101347.13	SAMHD1	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	14435.5355874029	3.76224224308951	0.172940993177246	21.7544850065341	6.26458629518588e-105	1.92406327079476e-101	upregulated	3.76224224308951	13.5689976148034
ENSG00000125148.9	MT2A	protein_coding;retained_intron;protein_coding_CDS_not_defined	3736.67139172929	2.22708445871858	0.102779436666705	21.6685801260091	4.06085730710086e-104	1.06904969221792e-100	upregulated	2.22708445871858	4.68186864534053
ENSG00000154734.18	ADAMTS1	protein_coding;retained_intron;nonsense_mediated_decay	30677.5776971371	2.33503478950827	0.107965431729465	21.6276149884649	9.87588310099479e-104	2.27490967231415e-100	upregulated	2.33503478950827	5.04563130547054
ENSG00000196136.20	SERPINA3	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	2884.92799253261	3.23370882752618	0.150959766535184	21.4209978045542	8.5145413123245e-102	1.74339963670573e-98	upregulated	3.23370882752618	9.40683127343869
ENSG00000211445.14	GPX3	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined;TEC	12732.2285774895	3.77661660286304	0.18250923929973	20.6927420077666	4.02651660968587e-95	6.18338734027427e-92	upregulated	3.77661660286304	13.704868714618
ENSG00000179094.19	PER1	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	789.18127182908	3.02864188132827	0.156186410178341	19.3911997712863	9.15756983820647e-84	1.05472310611543e-80	upregulated	3.02864188132827	8.1604113722273
ENSG00000103196.14	CRISPLD2	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	3165.06630098184	2.61176403630856	0.205218606179755	12.7267409370321	4.20007680619742e-37	8.59989059828957e-35	upregulated	2.61176403630856	6.1125062546442
