index	gene_ids	mt	n_cells	highly_variable	means	dispersions	dispersions_norm
AL627309.1	ENSG00000237683	False	9	False	0.01355565856111901	1.4328452273247942	-0.624328
AP006222.2	ENSG00000228463	False	3	False	0.004695979601062543	1.4586306075668527	-0.5734155
RP11-206L10.2	ENSG00000228327	False	5	False	0.005672516793439789	1.3254592624459758	-0.8363586
RP11-206L10.9	ENSG00000237491	False	3	False	0.0026441773597111477	0.8592639731882677	-1.7568482
LINC00115	ENSG00000225880	False	18	False	0.027437276083510095	1.4574773121524076	-0.57569265
NOC2L	ENSG00000188976	False	258	False	0.37603772649626926	1.8764400037064142	-0.41624308
KLHL17	ENSG00000187961	False	9	False	0.011910856879256592	1.5251220871915256	-0.44212994
PLEKHN1	ENSG00000187583	False	7	False	0.012945072521586862	1.7108606823710855	-0.07539428
RP11-54O7.17	ENSG00000272512	False	3	False	0.003646144887294197	1.2700719475026927	-0.9457193
HES4	ENSG00000188290	False	145	False	0.2184873780545361	1.6726871749512557	-0.1507668
RP11-54O7.11	ENSG00000224969	False	4	False	0.005485844106273249	1.4849965969861674	-0.5213566
ISG15	ENSG00000187608	False	1206	False	1.7300507511454655	2.9072283677709914	0.36432958
AGRN	ENSG00000188157	False	8	False	0.014521200306871918	1.9220343084727671	0.34156212
C1orf159	ENSG00000131591	False	24	False	0.036838849368251075	1.4683571828197899	-0.55421066
TNFRSF18	ENSG00000186891	False	92	False	0.1610161649822643	1.9097288013408384	0.31726524
TNFRSF4	ENSG00000186827	False	155	True	0.2774102699660046	2.086049617490299	0.66540575
SDF4	ENSG00000078808	False	340	False	0.46936199065899886	1.6465952445414596	-0.7108068
B3GALT6	ENSG00000176022	False	58	False	0.09808113879371179	1.6743588618450294	-0.14746611
FAM132A	ENSG00000184163	False	3	False	0.0033449652444373593	1.4944602160353837	-0.50267094
UBE2J2	ENSG00000160087	False	299	False	0.4121445311550585	1.5959716423241956	-0.7756848
ACAP3	ENSG00000131584	False	63	False	0.0949715446589017	1.632036929405141	-0.23102957
PUSL1	ENSG00000169972	False	62	False	0.08812618672766533	1.5117307612790325	-0.46857074
CPSF3L	ENSG00000127054	False	202	True	0.3851940843070057	4.506987434052159	2.9550052
GLTPD1	ENSG00000224051	False	77	False	0.12410170498296788	1.7039033263222743	-0.089131385
DVL1	ENSG00000107404	False	5	False	0.008397417104932735	1.496558999568464	-0.49852696
MXRA8	ENSG00000162576	False	5	False	0.007968326142469616	1.4629764639257283	-0.5648347
AURKAIP1	ENSG00000175756	False	770	False	0.9387164391898898	1.8168827742412759	-0.9642436
CCNL2	ENSG00000221978	False	144	False	0.21601523713590123	1.7261926554482458	-0.04512173
RP4-758J18.2	ENSG00000224870	False	100	False	0.14725714945719576	1.5561134165851085	-0.38093844
MRPL20	ENSG00000242485	False	677	False	0.8808309253678044	2.7127883967914306	0.43214348
ATAD3C	ENSG00000215915	False	9	True	0.03825194421813732	3.9534863330187817	4.3526073
ATAD3B	ENSG00000160072	False	28	False	0.04121675427332824	1.5052500347527666	-0.48136675
ATAD3A	ENSG00000197785	False	49	False	0.06611847210988926	1.4932269954140907	-0.5051059
SSU72	ENSG00000160075	False	901	False	1.0616132697999552	1.9846868873119896	-0.70269877
AL645728.1	ENSG00000215014	False	28	False	0.04927513108930692	1.7500369878246136	0.0019582377
C1orf233	ENSG00000228594	False	9	False	0.012274699516328142	1.6415320224498817	-0.21228178
RP11-345P4.9	ENSG00000272106	False	37	False	0.05731480521733929	1.6319965958734302	-0.23110922
MIB2	ENSG00000197530	False	177	False	0.28193829914773155	1.7084601641621584	-0.6315221
MMP23B	ENSG00000189409	False	21	False	0.03615298280246879	1.5848334866242162	-0.32423145
CDK11B	ENSG00000248333	False	62	False	0.10474807140103755	1.7861164102788045	0.073196046
SLC35E2B	ENSG00000189339	False	44	False	0.07901625673019412	1.7244516250611701	-0.048559345
CDK11A	ENSG00000008128	False	164	False	0.24405816840356248	1.7072403739243147	-0.08254248
SLC35E2	ENSG00000215790	False	16	False	0.02394162354926759	1.4676981055102258	-0.555512
NADK	ENSG00000008130	False	125	False	0.1761670956047133	1.642132607479557	-0.21109594
GNB1	ENSG00000078369	False	317	False	0.42661281302281717	1.6359921315669481	-0.72439545
RP1-140A9.1	ENSG00000231050	False	3	False	0.005344701381724247	1.6550081725825339	-0.1856735
TMEM52	ENSG00000178821	False	3	False	0.003949333440716527	1.268874602466211	-0.94808346
PRKCZ	ENSG00000067606	False	34	False	0.051036924016215776	1.5659969286366455	-0.3614237
RP5-892K4.1	ENSG00000271806	False	10	False	0.019677293028466124	1.8598259706061842	0.21873352
C1orf86	ENSG00000162585	False	501	True	0.6782825334307869	2.713521595429261	0.5431829
AL590822.2	ENSG00000269554	False	3	False	0.00458424343802264	1.406913090722294	-0.6755303
SKI	ENSG00000157933	False	59	False	0.0891172043336659	1.5338509581436544	-0.42489502
RER1	ENSG00000157916	False	608	True	0.8148132255246746	3.4475328397844183	1.5825284
PEX10	ENSG00000157911	False	34	False	0.05033511760351847	1.6117037314011706	-0.2711769
PLCH2	ENSG00000149527	False	3	False	0.006827928820689088	1.8801615712002189	0.2588856
PANK4	ENSG00000157881	False	57	False	0.08238020029370731	1.5378099817806286	-0.41707805
RP3-395M20.12	ENSG00000272449	False	165	False	0.24131591788200668	1.6532350812705154	-0.18917441
TNFRSF14	ENSG00000157873	False	589	False	0.7397355264907414	1.6809083676521763	-0.918977
RP3-395M20.9	ENSG00000228037	False	12	False	0.02182471992041881	1.6999769847018622	-0.09688384
FAM213B	ENSG00000157870	False	38	False	0.06013693397651008	1.5485380595332292	-0.39589575
MMEL1	ENSG00000142606	False	13	False	0.020033846538365072	1.4750946175082837	-0.5409078
TTC34	ENSG00000215912	False	4	False	0.00551567547215421	1.4060346135810387	-0.6772648
MEGF6	ENSG00000162591	False	10	False	0.015377495678464533	1.5544479781764389	-0.3842268
TPRG1L	ENSG00000158109	False	49	False	0.07917680621919	1.9125757723166803	0.32288653
WRAP73	ENSG00000116213	False	97	False	0.14870954250976218	1.6771945141983364	-0.14186719
TP73-AS1	ENSG00000227372	False	31	False	0.050705707179085936	1.6218023753869755	-0.25123742
SMIM1	ENSG00000235169	False	14	False	0.021738227532292723	1.4730880352588143	-0.5448697
LRRC47	ENSG00000130764	False	120	False	0.19390026306562533	1.9191772029085927	0.33592087
CEP104	ENSG00000116198	False	62	False	0.10379619990212056	1.701584901757573	-0.09370905
DFFB	ENSG00000169598	False	25	False	0.03602141872459825	1.5577978422883	-0.3776126
C1orf174	ENSG00000198912	False	141	False	0.2136800348186259	1.6252625404525691	-0.24440542
NPHP4	ENSG00000131697	False	11	False	0.016364025017834294	1.477512388850107	-0.53613394
