cluster	rank	gene	score	logfoldchange	pval	pval_adj
2	1	LST1	23.145994	5.126927	1.5952872404746442e-118	2.187776921586927e-114
2	2	COTL1	22.808859	3.6692128	3.7450374243263747e-115	2.567972161860595e-111
2	3	AIF1	22.579819	4.866	6.84281475161675e-113	3.1280787167890703e-109
2	4	FCER1G	22.53705	4.7577343	1.7991423495117633e-112	6.1683595453010805e-109
2	5	FTH1	21.893991	2.9597666	2.963888596083412e-106	8.129353641337582e-103
2	6	IFITM3	21.63024	4.949094	9.329581409675935e-104	2.1324313242049296e-100
2	7	SAT1	21.042566	3.5681865	2.6750379552601422e-98	5.240781502633941e-95
2	8	PSAP	20.982256	3.4716954	9.526462313667258e-98	1.6330738021204096e-94
2	9	FTL	20.841288	3.2051008	1.8285235552649688e-96	2.7862635596559755e-93
2	10	S100A11	20.53311	3.3925953	1.0897218587528842e-93	1.4944445570937055e-90
2	11	CTSS	20.4577	3.5174158	5.130208833223119e-93	6.395971267165624e-90
2	12	SERPINA1	20.253153	4.2325478	3.3321263512525286e-91	3.808065065089765e-88
2	13	CST3	19.826382	4.801063	1.7627412060505914e-87	1.8595563769059855e-84
2	14	OAZ1	19.69568	1.9660367	2.3482416042435646e-86	2.3002703828997316e-83
2	15	CD68	19.34487	4.0679307	2.251692436506408e-83	2.0586473382832587e-80
2	16	S100A4	19.17789	2.5906036	5.66314072874078e-82	4.854019497121941e-79
2	17	IFITM2	19.121172	2.5938568	1.682830296725956e-81	1.3575490993705742e-78
2	18	TYMP	19.10423	3.6614895	2.328362987028949e-81	1.7739538891175002e-78
2	19	CFD	19.092352	4.1311235	2.9230556379382835e-81	2.109830790457138e-78
2	20	NPC2	19.043045	3.2539222	7.503470334350748e-81	5.145129608264308e-78
2	21	CEBPB	18.88776	3.556139	1.4382111413703517e-79	9.392203615596667e-77
2	22	TYROBP	18.772434	4.3822	1.2693280074605385e-78	7.568506214919054e-76
2	23	TIMP1	18.746746	3.6140532	2.0580681739787056e-78	1.1760144557476655e-75
2	24	FCGR3A	18.71102	4.865575	4.0259555982787176e-78	2.2084782029917734e-75
2	25	SPI1	18.543442	4.0240407	9.213218478879534e-77	4.859618393052074e-74
2	26	LGALS1	18.125786	3.6251934	1.994737750462644e-73	9.76994053923025e-71
2	27	ACTB	17.850708	1.211931	2.8539107937313423e-71	1.3046177541743878e-68
2	28	S100A6	17.53024	2.3645859	8.421526993677946e-69	3.6091506622281043e-66
2	29	RP11-290F20.3	17.333796	4.9380317	2.6149139681563173e-67	1.086694853311992e-64
2	30	ARPC3	17.162027	1.7663705	5.10985595877424e-66	2.0021875605322838e-63
2	31	IFI30	16.948687	3.9734507	1.967990247490207e-64	7.496949515022415e-62
2	32	HLA-DPA1	16.88465	3.1386366	5.836289926806029e-64	2.163212974492375e-61
2	33	YBX1	16.5924	1.6503282	7.909607177747664e-62	2.7118088208907868e-59
2	34	MS4A7	16.342829	4.836024	4.892994906527523e-60	1.5250575488208738e-57
2	35	HCK	16.254711	4.0488763	2.0684067535078395e-59	6.166550047305763e-57
2	36	CFP	16.185286	3.4872193	6.405160785058812e-59	1.8689441490701393e-56
2	37	STXBP2	16.021576	3.3003516	9.033286323035374e-58	2.5808851798772316e-55
