cluster	rank	gene	score	logfoldchange	pval	pval_adj
6	1	HLA-DPA1	9.400656	4.2783146	5.422417410052873e-21	5.205738240689619e-17
6	2	HLA-DPB1	9.365183	4.4348464	7.591859764750793e-21	5.205738240689619e-17
6	3	HLA-DRA	9.059811	4.6085496	1.3067679399654167e-19	5.973671842895242e-16
6	4	HLA-DRB1	9.020924	4.2373934	1.8651042174813593e-19	6.39450980963484e-16
6	5	CD74	8.894787	3.6391494	5.853160620287338e-19	1.344489147662796e-15
6	6	HLA-DQA1	8.894236	4.8258915	5.88226256816157e-19	1.344489147662796e-15
6	7	CST3	8.859975	4.9127884	8.003225558759849e-19	1.567946218754751e-15
6	8	FCER1A	8.552179	8.774559	1.2078568209574999e-17	2.070568555326394e-14
6	9	HLA-DRB5	8.462948	3.8885899	2.607031576071473e-17	3.9725367815826865e-14
6	10	HLA-DMA	7.962036	3.505625	1.6923123930292695e-15	2.3208372158003404e-12
6	11	HLA-DQB1	7.933944	4.084104	2.122931638891062e-15	2.6467167723410934e-12
6	12	HLA-DQA2	7.3119636	4.17601	2.6326623947040697e-13	3.008694340080968e-10
6	13	LSP1	7.217554	2.206801	5.293099951994246e-13	5.184969481546363e-10
6	14	LYZ	7.1857166	4.2577515	6.685548473257012e-13	6.112374117483112e-10
6	15	CLEC10A	7.0512075	6.929531	1.7737148788797854e-12	1.520295365559836e-09
6	16	AP1S2	7.0250993	2.966939	2.1391442126005644e-12	1.725660219506126e-09
6	17	GRN	6.967484	3.0342827	3.2265964566742e-12	2.458307989268332e-09
6	18	GPX1	6.9206643	2.8019364	4.495300659587967e-12	3.2446606971362834e-09
6	19	VIM	6.903369	2.0125842	5.078353456091121e-12	3.4822269648416817e-09
6	20	GSTP1	6.846084	2.7004032	7.589888505363531e-12	4.956558617264546e-09
