cluster	rank	gene	score	logfoldchange	pval	pval_adj
3	1	NKG7	31.396503	7.1125937	2.2584517081928288e-216	3.097240672615645e-212
3	2	CST7	27.8884	6.3730154	3.6890139592066196e-171	2.529556871827979e-167
3	3	GZMA	27.46755	6.186221	4.2881344788215393e-166	1.9602492080852863e-162
3	4	CTSW	27.037384	4.6823173	5.3749655154093135e-161	1.842806926958083e-157
3	5	B2M	26.683104	0.973765	7.393741491913757e-157	2.0279554164021056e-153
3	6	CCL5	26.546227	5.4912667	2.839236379540756e-155	6.489547951503655e-152
3	7	HLA-C	25.673668	1.3327705	2.3012497085642e-145	4.5084769290356344e-142
3	8	HLA-A	22.468552	1.2604417	8.42971050456892e-112	1.445063123245727e-108
3	9	PRF1	20.662651	5.6177473	7.512536635624208e-95	1.1447436380105599e-91
3	10	GZMM	19.118383	3.4606662	1.7752819522891575e-81	2.4346216693693507e-78
3	11	PTPRCAP	18.71194	2.0212243	3.9569416809824195e-78	4.933227110272082e-75
3	12	HLA-B	18.57212	1.0287327	5.402685634550942e-77	6.1743692326859685e-74
3	13	HCST	17.168573	1.9872051	4.5649806506270236e-66	4.8157034340537695e-63
3	14	GZMB	16.962738	6.1259685	1.549513609396368e-64	1.4166686426174528e-61
3	15	GNLY	16.191072	5.249366	5.830385362200978e-59	4.826777663169288e-56
3	16	FGFBP2	16.189478	6.0723543	5.983317797424376e-59	4.826777663169288e-56
3	17	GZMH	16.109196	6.413745	2.1986730688932154e-58	1.5869790772000818e-55
3	18	IL32	14.909233	1.9595258	2.870308919824197e-50	1.7114528924551755e-47
3	19	CD99	14.849695	1.7619649	6.988536328445572e-50	3.993366133679274e-47
3	20	HOPX	14.725737	3.8593085	4.406391036753861e-49	2.417169867121698e-46
3	21	CD247	14.683378	2.7110183	8.238135528352676e-49	4.345299639839562e-46
3	22	RARRES3	14.455377	1.7985892	2.318577468470285e-47	1.177665607503759e-44
3	23	MYL12A	14.427184	1.0427806	3.4904424347124435e-47	1.650618191367119e-44
3	24	HLA-E	14.386661	1.0353918	6.275321616565826e-47	2.868658688319458e-44
3	25	CCL4	14.2534895	4.814694	4.264284478987815e-46	1.8864644304786742e-43
3	26	PFN1	13.651881	0.88995475	1.967346339768647e-42	7.70862505816778e-40
3	27	MALAT1	13.478879	0.67451674	2.0824606906829148e-41	7.718612408655538e-39
3	28	LYAR	12.713274	2.90689	4.990067464227475e-37	1.6691167123028193e-34
3	29	ID2	12.37496	1.8555219	3.5707288843766337e-35	1.138813393496306e-32
3	30	SRGN	12.006132	1.4079658	3.2991702951079896e-33	9.426004463981452e-31
3	31	UBB	11.995257	0.98236763	3.7624753398020785e-33	1.0530323838784837e-30
3	32	APOBEC3G	11.859973	2.4734437	1.9103689475868703e-32	5.1370195582757525e-30
3	33	GZMK	11.728984	3.9518447	9.053932392616796e-32	2.3427477138178632e-29
3	34	KLRG1	11.523599	3.5515554	1.0033162475920751e-30	2.5017234580868578e-28
3	35	CD7	11.330474	1.7725735	9.270173109873304e-30	2.191916448772457e-27
3	36	APMAP	11.253827	3.386517	2.217572052473349e-29	4.905126310906373e-27
3	37	CALM1	11.071855	1.0730417	1.718071025709946e-28	3.624865545628646e-26
3	38	ITGB2	11.041826	1.4239677	2.401024530532914e-28	4.989037941170967e-26
3	39	CD53	10.927393	1.2102791	8.526324465714655e-28	1.7195590253354527e-25
3	40	CTSC	10.925557	1.941197	8.700503290244222e-28	1.7292565524986848e-25
3	41	SPON2	10.822865	4.8994164	2.682601578967802e-27	4.971513250535735e-25
3	42	FCGR3A	10.815937	2.4696615	2.8931985609357452e-27	5.290310008623042e-25
3	43	IFITM1	10.224511	1.3238178	1.54003072065641e-24	2.5756074759856104e-22
3	44	RAP1B	10.166151	1.4699134	2.8078514815203855e-24	4.639382556333804e-22
3	45	CD8A	10.033118	3.1169288	1.090180165832564e-23	1.7269371440320907e-21
3	46	C12orf75	9.980196	2.7646368	1.860983582957354e-23	2.867587511986197e-21
3	47	CFL1	9.96565	0.6485712	2.1546077295244417e-23	3.283143378077577e-21
3	48	SAMD3	9.955709	3.1092446	2.3811864541075534e-23	3.588526486992416e-21
3	49	CLIC1	9.808545	1.022412	1.0344888840080964e-22	1.5092532505624502e-20
3	50	MATK	9.782777	4.490266	1.3349640459195139e-22	1.9271259921831804e-20
3	51	KLRD1	9.780283	5.489808	1.3682692024494994e-22	1.9546295669158787e-20
3	52	TPST2	9.68005	2.6219375	3.665372009923702e-22	5.077465832736732e-20
3	53	LCK	9.592666	1.4004246	8.583789766834396e-22	1.154098949631048e-19
3	54	CD63	9.465937	1.5226375	2.909416829442922e-21	3.7641266414132294e-19
3	55	XCL2	9.2348175	6.273807	2.5872617035660192e-20	3.2256097275185807e-18
3	56	MYL12B	9.233017	0.8009924	2.6311505325594403e-20	3.2507746309477623e-18
3	57	ANXA1	9.154395	1.0548506	5.466304605780062e-20	6.6340620675812185e-18
3	58	IL2RG	9.144871	1.2158532	5.970119622430089e-20	7.181949166842653e-18
3	59	LITAF	9.080658	1.5139134	1.0792082148213138e-19	1.2437194502571006e-17
3	60	NCR3	8.963522	3.3604822	3.144691365998631e-19	3.506203040106116e-17
3	61	UBC	8.923311	0.61433154	4.525513937538646e-19	5.0050724305971774e-17
3	62	ARPC5L	8.894079	2.1128023	5.890568406122076e-19	6.462660409724651e-17
3	63	BIN2	8.743417	1.2996751	2.2616364609502676e-18	2.3676398798070205e-16
3	64	RAC2	8.696418	0.85334563	3.425262310203147e-18	3.558639948645906e-16
3	65	PDIA3	8.669126	1.3666468	4.35452734686789e-18	4.456566271264645e-16
3	66	IFITM2	8.618177	0.8267174	6.802831380295025e-18	6.910668855508591e-16
3	67	PPP1R18	8.524559	1.5039386	1.5339308270075238e-17	1.5354983475606702e-15
3	68	CLIC3	8.419026	4.6850467	3.796259924480545e-17	3.772602072777261e-15
3	69	SEPT7	8.417191	1.3263541	3.856196624448733e-17	3.804595719977692e-15
3	70	MYO1F	8.377292	1.7001804	5.415970385108178e-17	5.267703394423656e-15
3	71	PLAC8	8.219737	1.1502588	2.039500768152812e-16	1.9423412176699764e-14
3	72	SH3BGRL3	8.178833	0.71106017	2.8660585718889056e-16	2.692132003759209e-14
3	73	ZAP70	8.040154	2.23748	8.97250792751701e-16	8.37067848421553e-14
3	74	PLEK	8.009572	2.0826254	1.1510823056700367e-15	1.0666177526999245e-13
3	75	ACTB	7.9449778	0.4450056	1.9422533451390298e-15	1.787655192968903e-13
3	76	CHST12	7.9223614	2.605952	2.3304191940275888e-15	2.1306245884596237e-13
3	77	PSME1	7.921357	0.6354188	2.3493249260038022e-15	2.1336849029944464e-13
3	78	DHRS7	7.8909473	1.2990245	2.9990094235521352e-15	2.6881317146793455e-13
3	79	S1PR5	7.8841243	6.118704	3.167487208828345e-15	2.820709063757917e-13
3	80	GIMAP7	7.7970867	0.9208338	6.335268679270462e-15	5.569350940225328e-13
3	81	ANXA6	7.6731977	1.3246018	1.677607707363802e-14	1.446963025080955e-12
3	82	XBP1	7.6473255	1.412967	2.05202778990433e-14	1.7588443194217489e-12
3	83	TXNIP	7.3633533	0.6391113	1.7934671829606077e-13	1.446800526301281e-11
