cluster	rank	gene	score	logfoldchange	pval	pval_adj
0	1	LDHB	32.37362	2.7383249	6.455273247513287e-230	8.852761731639721e-226
0	2	RPS12	30.81869	1.0086799	1.472482826917506e-208	1.0096814744173337e-204
0	3	RPS25	29.08397	1.1339942	5.726281468647094e-186	1.570604481220525e-182
0	4	RPS3	28.080143	0.8501929	1.712370780482908e-173	3.354778983363229e-170
0	5	RPS27	27.957182	0.98623955	5.391867877521991e-172	8.216008452481843e-169
0	6	CD3D	27.862389	3.1793187	7.624267321216492e-171	1.0455920204316298e-167
0	7	RPS6	27.779924	0.83464396	7.583628009935324e-170	9.454715866204822e-167
0	8	RPS14	26.84236	0.7422695	1.0357553041403609e-158	1.1836956867484091e-155
0	9	RPL31	26.566175	1.0933328	1.670333400774437e-155	1.5271301505480419e-152
0	10	TPT1	26.551107	0.91842794	2.4936213088673282e-155	2.1373451643629086e-152
1	1	CD74	28.862055	4.084945	3.576806255903681e-183	4.9052320993463075e-179
1	2	CD79A	27.780062	7.7187076	7.55471785448319e-170	5.180270032819123e-166
1	3	HLA-DRA	27.507637	4.8876743	1.4226556214313896e-166	6.503433064103359e-163
1	4	CD79B	26.4076	5.509765	1.120700354755122e-153	3.842321166277936e-150
1	5	HLA-DPB1	25.88026	4.0635843	1.1110709977621279e-147	3.0474455326619643e-144
1	6	HLA-DQA1	25.24009	5.3640203	1.4551139192649527e-140	3.3259053814665937e-137
1	7	MS4A1	25.051428	6.3867645	1.6843843128414842e-138	3.2999494951868734e-135
1	8	HLA-DRB1	24.321009	3.8997838	1.1752925346851618e-130	2.0147452275840384e-127
1	9	HLA-DQB1	24.149208	4.959159	7.611077430732035e-129	1.1597590653895457e-125
1	10	CD37	24.124147	2.4829173	1.3950559596548037e-128	1.913179743070598e-125
2	1	LST1	23.145994	5.126927	1.5952872404746442e-118	2.187776921586927e-114
2	2	COTL1	22.808859	3.6692128	3.7450374243263747e-115	2.567972161860595e-111
2	3	AIF1	22.579819	4.866	6.84281475161675e-113	3.1280787167890703e-109
2	4	FCER1G	22.53705	4.7577343	1.7991423495117633e-112	6.1683595453010805e-109
2	5	FTH1	21.893991	2.9597666	2.963888596083412e-106	8.129353641337582e-103
2	6	IFITM3	21.63024	4.949094	9.329581409675935e-104	2.1324313242049296e-100
2	7	SAT1	21.042566	3.5681865	2.6750379552601422e-98	5.240781502633941e-95
2	8	PSAP	20.982256	3.4716954	9.526462313667258e-98	1.6330738021204096e-94
2	9	FTL	20.841288	3.2051008	1.8285235552649688e-96	2.7862635596559755e-93
2	10	S100A11	20.53311	3.3925953	1.0897218587528842e-93	1.4944445570937055e-90
3	1	NKG7	31.396503	7.1125937	2.2584517081928288e-216	3.097240672615645e-212
3	2	CST7	27.8884	6.3730154	3.6890139592066196e-171	2.529556871827979e-167
3	3	GZMA	27.46755	6.186221	4.2881344788215393e-166	1.9602492080852863e-162
3	4	CTSW	27.037384	4.6823173	5.3749655154093135e-161	1.842806926958083e-157
3	5	B2M	26.683104	0.973765	7.393741491913757e-157	2.0279554164021056e-153
3	6	CCL5	26.546227	5.4912667	2.839236379540756e-155	6.489547951503655e-152
3	7	HLA-C	25.673668	1.3327705	2.3012497085642e-145	4.5084769290356344e-142
3	8	HLA-A	22.468552	1.2604417	8.42971050456892e-112	1.445063123245727e-108
3	9	PRF1	20.662651	5.6177473	7.512536635624208e-95	1.1447436380105599e-91
3	10	GZMM	19.118383	3.4606662	1.7752819522891575e-81	2.4346216693693507e-78
4	1	S100A9	31.838957	7.3683295	1.8717288505719737e-222	2.5668889456744046e-218
4	2	S100A8	31.753998	7.548199	2.79643966505539e-221	1.917518678328481e-217
4	3	LYZ	31.435495	6.095264	6.6260833707496676e-217	3.029003578215365e-213
4	4	TYROBP	29.468857	5.2806506	7.21888557866099e-191	2.4749949206439203e-187
4	5	FTL	28.770615	3.3890283	5.002705696590784e-182	1.3721421184609203e-178
